,ID,adj.P.Val,P.Value,t,B,logFC,Gene.symbol,Gene.title
3558,215784_at,0.6844179,0.11,1.6203994,-4.62976,0.67650379,CD1E,CD1e molecule
3559,205318_at,0.6844179,0.11,1.6202688,-4.62995,0.26145536,KIF5A,kinesin family member 5A
3556,211659_at,0.6844179,0.11,1.6207323,-4.6292800000000005,0.33977395,GPR135,G protein-coupled receptor 135
3561,219625_s_at,0.6844179,0.11,-1.6197783000000001,-4.63065,-0.4942951,COL4A3BP,collagen type IV alpha 3 binding protein
3562,210951_x_at,0.6844179,0.11,-1.6197753000000001,-4.63066,-0.43369306,RAB27A,"RAB27A, member RAS oncogene family"
3563,214686_at,0.6844179,0.11,1.6197609,-4.63068,0.32488229,ZNF266,zinc finger protein 266
3564,203268_s_at,0.6844179,0.11,1.6197341,-4.630719999999999,0.194727,DRG2,developmentally regulated GTP binding protein 2
3565,219935_at,0.6844179,0.11,1.6197068000000001,-4.6307599999999995,0.43570969,ADAMTS5,ADAM metallopeptidase with thrombospondin type 1 motif 5
3566,207792_at,0.6844179,0.11,1.6195681999999998,-4.63096,0.41353669,OPRD1,opioid receptor delta 1
3567,200862_at,0.6844179,0.11,-1.6195513000000001,-4.63098,-0.19625441,DHCR24,24-dehydrocholesterol reductase
3560,208974_x_at,0.6844179,0.11,-1.6198331,-4.63058,-0.231935,KPNB1,karyopherin subunit beta 1
3615,216537_s_at,0.6844179,0.111,1.6137746000000002,-4.6393,0.42489976,SIGLEC7,sialic acid binding Ig like lectin 7
3609,203733_at,0.6844179,0.111,-1.6146987,-4.63797,-0.45266806,DEXI,Dexi homolog
3610,216427_at,0.6844179,0.111,1.6146321000000001,-4.63807,0.37901938,TMEM92-AS1,TMEM92 antisense RNA 1
3611,220224_at,0.6844179,0.111,1.6139415000000001,-4.63906,0.36082178,HAO1,hydroxyacid oxidase 1
3612,207897_at,0.6844179,0.111,1.613924,-4.63908,0.20923837,CRHR2,corticotropin releasing hormone receptor 2
3613,210435_at,0.6844179,0.111,1.6139131000000002,-4.6391,0.46161218,ARL17B///ARL17A,ADP ribosylation factor like GTPase 17B///ADP ribosylation factor like GTPase 17A
3614,210850_s_at,0.6844179,0.111,1.6139125,-4.6391,0.49140183,ELK1,"ELK1, ETS transcription factor"
3616,203071_at,0.6844179,0.111,1.6137177,-4.63938,0.28805883,MIR6872///SEMA3B,microRNA 6872///semaphorin 3B
3625,215198_s_at,0.6846829000000001,0.111,-1.6123648000000002,-4.6413199999999994,-0.40590134,CALD1,caldesmon 1
3618,204915_s_at,0.6844179,0.111,1.6136893,-4.639419999999999,0.38189597,SOX11,SRY-box 11
3619,209026_x_at,0.6844179,0.111,-1.6136636,-4.63946,-0.27623348,TUBB,tubulin beta class I
3620,205585_at,0.6844179,0.111,-1.6135457,-4.63963,-0.27919311,ETV6,ETS variant 6
3621,219160_s_at,0.6845996,0.111,1.6132686999999999,-4.64003,0.34877777,PAPOLG,poly(A) polymerase gamma
3622,217502_at,0.6846829000000001,0.111,-1.6128717,-4.6406,-0.41836287,IFIT2,interferon induced protein with tetratricopeptide repeats 2
3623,218118_s_at,0.6846829000000001,0.111,-1.6124623,-4.64118,-0.24641269999999998,TIMM23B///TIMM23,translocase of inner mitochondrial membrane 23 homolog B///translocase of inner mitochondrial membrane 23
3624,217549_at,0.6846829000000001,0.111,1.6124319,-4.64123,0.19717634,NCKAP1L,NCK associated protein 1 like
3608,202884_s_at,0.6844179,0.111,-1.6147256,-4.63793,-0.15071625,PPP2R1B,protein phosphatase 2 scaffold subunit Abeta
3617,200598_s_at,0.6844179,0.111,-1.6136998,-4.63941,-0.43014533,MIR3652///HSP90B1,microRNA 3652///heat shock protein 90 beta family member 1
3607,218699_at,0.6844179,0.111,-1.6148421,-4.63776,-0.21718626,RAB29,"RAB29, member RAS oncogene family"
3605,213508_at,0.6844179,0.111,1.6151273000000002,-4.63735,0.34701746,SPTSSA,serine palmitoyltransferase small subunit A
3589,206988_at,0.6844179,0.111,1.6165423,-4.63532,0.47250446,CCL25,C-C motif chemokine ligand 25
3587,203154_s_at,0.6844179,0.111,1.6168193000000002,-4.63492,0.29076218,PAK4,p21 (RAC1) activated kinase 4
3588,215789_s_at,0.6844179,0.111,1.6167261,-4.63505,0.32404045,AJAP1,adherens junctions associated protein 1
3606,216849_at,0.6844179,0.111,1.6151253,-4.63736,0.26451139,,
3590,220240_s_at,0.6844179,0.111,1.6164836999999999,-4.6354,0.41750781,TMCO3,transmembrane and coiled-coil domains 3
3591,215698_at,0.6844179,0.111,-1.6163093000000002,-4.63565,-0.26028495,KDM5A,lysine demethylase 5A
3592,203787_at,0.6844179,0.111,1.6162068,-4.6358,0.23220883,SSBP2,single stranded DNA binding protein 2
3594,218045_x_at,0.6844179,0.111,1.6160296,-4.63606,0.33941733,PTMS,parathymosin
3595,201611_s_at,0.6844179,0.111,1.6160271000000002,-4.63606,0.19565950000000001,ICMT,isoprenylcysteine carboxyl methyltransferase
3593,211195_s_at,0.6844179,0.111,1.6160756,-4.6359900000000005,0.48303138,TP63,tumor protein p63
3597,51176_at,0.6844179,0.111,-1.6158605,-4.6363,-0.16158954,MED27,mediator complex subunit 27
3598,212825_at,0.6844179,0.111,-1.6158565,-4.6363,-0.17234239,PAXIP1,PAX interacting protein 1
3599,202324_s_at,0.6844179,0.111,-1.6155632,-4.63673,-0.30750939,ACBD3,acyl-CoA binding domain containing 3
3600,220932_at,0.6844179,0.111,1.6155228000000001,-4.63678,0.25469374,,
3601,210411_s_at,0.6844179,0.111,1.6154693000000002,-4.6368599999999995,0.38180139,GRIN2B,glutamate ionotropic receptor NMDA type subunit 2B
3602,203906_at,0.6844179,0.111,1.6154628999999998,-4.63687,0.27984117,IQSEC1,IQ motif and Sec7 domain 1
3603,212031_at,0.6844179,0.111,-1.615304,-4.6371,-0.27398781,RBM25,RNA binding motif protein 25
3604,216181_at,0.6844179,0.111,1.6151447,-4.63733,0.3677307,SYNJ2,synaptojanin 2
3596,219621_at,0.6844179,0.111,1.6159366000000002,-4.63619,0.43831183,CLSPN,claspin
3649,202904_s_at,0.6847755999999999,0.11199999999999999,-1.6085586,-4.646780000000001,-0.32775569,LSM5,"LSM5 homolog, U6 small nuclear RNA and mRNA degradation associated"
3644,217406_at,0.6847755999999999,0.11199999999999999,1.6093874,-4.6456,0.24754076,,
3646,216317_x_at,0.6847755999999999,0.11199999999999999,1.6088603000000001,-4.64635,0.41610349,RHD///RHCE,Rh blood group D antigen///Rh blood group CcEe antigens
3647,219495_s_at,0.6847755999999999,0.11199999999999999,1.6087823,-4.64646,0.2071029,ZNF180,zinc finger protein 180
3648,207041_at,0.6847755999999999,0.11199999999999999,1.60858,-4.64675,0.21720739,MASP2,mannan binding lectin serine peptidase 2
3650,59375_at,0.6847755999999999,0.11199999999999999,1.6084546999999998,-4.64693,0.33954416,MYO15B,myosin XVB
3643,202563_at,0.6847755999999999,0.11199999999999999,1.6094202,-4.64555,0.51155142,C14orf1,chromosome 14 open reading frame 1
3652,221845_s_at,0.6847755999999999,0.11199999999999999,-1.6083277,-4.64712,-0.74844154,CLPB,"ClpB homolog, mitochondrial AAA ATPase chaperonin"
3653,202303_x_at,0.6847755999999999,0.11199999999999999,-1.6083201,-4.647130000000001,-0.2816071,SMARCA5,"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 5"
3654,206623_at,0.6847755999999999,0.11199999999999999,1.6082873,-4.64717,0.30993365,PDE6A,phosphodiesterase 6A
3655,222163_s_at,0.6847755999999999,0.11199999999999999,-1.6082666,-4.6472,-0.21760763,SPATA5L1,spermatogenesis associated 5 like 1
3656,207385_at,0.6847755999999999,0.11199999999999999,1.6082135,-4.64728,0.54090416,TFDP3,transcription factor Dp family member 3
3657,208734_x_at,0.6849925,0.11199999999999999,-1.6077723,-4.6479099999999995,-0.21432933,RAB2A,"RAB2A, member RAS oncogene family"
3651,215437_x_at,0.6847755999999999,0.11199999999999999,1.608449,-4.64694,0.30901407,BAZ2A,bromodomain adjacent to zinc finger domain 2A
3642,211166_at,0.6847755999999999,0.11199999999999999,1.6097204,-4.6451199999999995,0.3098413,FAM153A,family with sequence similarity 153 member A
3645,211383_s_at,0.6847755999999999,0.11199999999999999,1.6091281000000002,-4.645969999999999,0.25294678,WDR37,WD repeat domain 37
3640,220006_at,0.6847755999999999,0.11199999999999999,1.6098876,-4.644880000000001,0.26616985,EFCC1,EF-hand and coiled-coil domain containing 1
3626,204416_x_at,0.6846829000000001,0.11199999999999999,1.6122435,-4.6415,0.35911514,APOC1,apolipoprotein C1
3627,36907_at,0.6846829000000001,0.11199999999999999,1.612221,-4.64153,0.16598008,MVK,mevalonate kinase
3629,203861_s_at,0.6847158,0.11199999999999999,1.6120139,-4.641830000000001,0.24139444,ACTN2,actinin alpha 2
3630,206968_s_at,0.6847158,0.11199999999999999,1.6119122,-4.64197,0.1914886,NFRKB,nuclear factor related to kappaB binding protein
3631,212925_at,0.6847318,0.11199999999999999,1.6117593000000001,-4.64219,0.44933818,MISP,mitotic spindle positioning
3632,213858_at,0.6847755999999999,0.11199999999999999,1.6113282,-4.64281,0.32555536,ZNF250,zinc finger protein 250
3633,222326_at,0.6847755999999999,0.11199999999999999,-1.6108016,-4.6435699999999995,-0.44798153,,
3628,209203_s_at,0.6846829000000001,0.11199999999999999,1.6122187,-4.64153,0.278713,BICD2,BICD cargo adaptor 2
3635,204115_at,0.6847755999999999,0.11199999999999999,1.6107141,-4.64369,0.70611258,GNG11,G protein subunit gamma 11
3636,215874_at,0.6847755999999999,0.11199999999999999,1.6103371000000002,-4.64423,0.53783623,,
3637,213486_at,0.6847755999999999,0.11199999999999999,1.6101938999999998,-4.64444,0.28802391,COPG2IT1,COPG2 imprinted transcript 1 (non-protein coding)
3641,203304_at,0.6847755999999999,0.11199999999999999,1.6098197,-4.64498,0.31841765,BAMBI,BMP and activin membrane bound inhibitor
3638,200931_s_at,0.6847755999999999,0.11199999999999999,1.6101543,-4.6445,0.35949346,VCL,vinculin
3639,211267_at,0.6847755999999999,0.11199999999999999,-1.6099335,-4.64481,-0.67557437,HESX1,HESX homeobox 1
3634,221334_s_at,0.6847755999999999,0.11199999999999999,1.6107234,-4.643680000000001,0.44196593,FOXP3,forkhead box P3
3672,215328_at,0.6863188,0.113,1.6046278,-4.65241,0.28472203,EFR3B,EFR3 homolog B
3673,213695_at,0.6863188,0.113,1.6044021000000002,-4.65273,0.44258044,PON3,paraoxonase 3
3674,219881_s_at,0.6863188,0.113,-1.604393,-4.65275,-0.521896,CTC-338M12.4,uncharacterized LOC101928649
3675,210733_at,0.6863188,0.113,-1.6042942,-4.65289,-0.31914283,TRAM1,translocation associated membrane protein 1
3679,204092_s_at,0.6866701999999999,0.113,-1.6035805,-4.65391,-0.32970503,AURKA,aurora kinase A
3677,212774_at,0.6863188,0.113,1.6040253999999998,-4.65327,0.32056399999999996,ZBTB18,zinc finger and BTB domain containing 18
3678,213264_at,0.6863188,0.113,1.6039828,-4.65333,0.32346234,PCBP2,poly(rC) binding protein 2
3680,213717_at,0.6867079,0.113,1.6034021,-4.65416,0.38087909,LDB3,LIM domain binding 3
3671,200874_s_at,0.6860761,0.113,1.6051417,-4.651680000000001,0.15678024,MIR1292///SNORD110///SNORD86///SNORD57///NOP56,"microRNA 1292///small nucleolar RNA, C/D box 110///small nucleolar RNA, C/D box 86///small nucleolar RNA, C/D box 57///NOP56 ribonucleoprotein"
3676,202241_at,0.6863188,0.113,-1.6041526000000002,-4.65309,-0.667098,TRIB1,tribbles pseudokinase 1
3670,209710_at,0.6860761,0.113,1.6051426000000002,-4.651669999999999,0.55042109,GATA2,GATA binding protein 2
3667,220058_at,0.6857599,0.113,-1.6059373,-4.65054,-0.22120188,GID4,GID complex subunit 4 homolog
3668,222019_at,0.6860761,0.113,1.6054438,-4.6512400000000005,0.24605865,MIR6834///PFDN6,microRNA 6834///prefoldin subunit 6
3666,220220_at,0.6853977,0.113,1.6063481000000002,-4.64995,0.37109675,LRRC37A2///LRRC37A4P,"leucine rich repeat containing 37 member A2///leucine rich repeat containing 37 member A4, pseudogene"
3665,204068_at,0.6853216,0.113,-1.6065448999999998,-4.6496699999999995,-0.84784749,STK3,serine/threonine kinase 3
3664,204148_s_at,0.6852441999999999,0.113,1.6067426999999999,-4.64939,0.31799614,POMZP3///ZP3,POM121 and ZP3 fusion///zona pellucida glycoprotein 3 (sperm receptor)
3663,210932_s_at,0.6852441999999999,0.113,1.6068107,-4.649290000000001,0.55711577,RNF6,ring finger protein 6
3662,208487_at,0.6852441999999999,0.113,1.6068142,-4.64928,0.3077962,LMX1B,LIM homeobox transcription factor 1 beta
3661,219785_s_at,0.6851774,0.113,-1.6072125,-4.6487099999999995,-0.39302194,C16orf95,chromosome 16 open reading frame 95
3660,217995_at,0.6849925,0.113,-1.6074909,-4.6483099999999995,-0.37231770000000003,SQRDL,sulfide quinone reductase-like (yeast)
3659,215011_at,0.6849925,0.113,1.6076106000000001,-4.64814,0.22921234,SNHG3///SNORA73A,"small nucleolar RNA host gene 3///small nucleolar RNA, H/ACA box 73A"
3658,220819_at,0.6849925,0.113,1.6076518,-4.64808,0.38043185,FRMD1,FERM domain containing 1
3669,221536_s_at,0.6860761,0.113,1.6052302999999999,-4.65155,0.24144777,LSG1,large 60S subunit nuclear export GTPase 1
3696,216470_x_at,0.6874140000000001,0.114,-1.6005061999999999,-4.6583,-0.44171059,PRSS2,"protease, serine 2"
3697,221628_s_at,0.6874140000000001,0.114,1.6004403999999999,-4.65839,0.36615706,GLYR1,glyoxylate reductase 1 homolog
3698,201026_at,0.6874140000000001,0.114,-1.6003791,-4.65848,-0.2781547,EIF5B,eukaryotic translation initiation factor 5B
3699,221053_s_at,0.6874954000000001,0.114,1.6001793,-4.65876,0.28784088,TDRKH,tudor and KH domain containing
3700,213013_at,0.6875924,0.114,1.5999678,-4.65906,0.37753483,LOC644172///MAPK8IP1,mitogen-activated protein kinase 8 interacting protein 1 pseudogene///mitogen-activated protein kinase 8 interacting protein 1
3705,217546_at,0.6882013000000001,0.114,-1.5987143,-4.66085,-0.35836090000000004,MT1M,metallothionein 1M
3702,215632_at,0.6881215999999999,0.114,1.5992197,-4.6601300000000005,0.37349079,NEUROG2,neurogenin 2
3703,218884_s_at,0.6881215999999999,0.114,-1.5991556999999998,-4.66022,-0.22236109,GUF1,"GUF1 homolog, GTPase"
3704,207508_at,0.6882013000000001,0.114,-1.5988657,-4.66064,-0.15508319,ATP5G3,"ATP synthase, H+ transporting, mitochondrial Fo complex subunit C3 (subunit 9)"
3695,206913_at,0.6872099,0.114,1.6009487,-4.6576699999999995,0.361218,BAAT,bile acid-CoA:amino acid N-acyltransferase
3701,213149_at,0.6881215999999999,0.114,-1.5993861,-4.65989,-0.25283581,DLAT,dihydrolipoamide S-acetyltransferase
3694,205249_at,0.6872099,0.114,-1.6010503999999999,-4.65752,-0.55372493,EGR2,early growth response 2
3681,203240_at,0.6867079,0.114,1.6031278,-4.65455,0.41975005,FCGBP,Fc fragment of IgG binding protein
3692,203657_s_at,0.6872099,0.114,1.601137,-4.6574,0.36162015,CTSF,cathepsin F
3693,219330_at,0.6872099,0.114,-1.6011274,-4.65741,-0.25710897,VANGL1,VANGL planar cell polarity protein 1
3682,220287_at,0.6867079,0.114,1.6028321,-4.65498,0.18864817,ADAMTS9,ADAM metallopeptidase with thrombospondin type 1 motif 9
3684,217621_at,0.6867079,0.114,-1.6024142,-4.65557,-0.5381566999999999,SLC6A2,solute carrier family 6 member 2
3685,200694_s_at,0.6867079,0.114,-1.6023583000000001,-4.65565,-0.21266334,DDX24,DEAD-box helicase 24
3686,212103_at,0.6867079,0.114,1.6023498999999999,-4.65567,0.17626346,KPNA6,karyopherin subunit alpha 6
3683,221927_s_at,0.6867079,0.114,1.6024192,-4.65557,0.21296487,ABHD11,abhydrolase domain containing 11
3688,217074_at,0.6867079,0.114,1.6022981,-4.65574,0.37893659,SMOX,spermine oxidase
3689,219739_at,0.6867568000000001,0.114,1.6021223,-4.65599,0.38131137,RNF186,ring finger protein 186
3690,220437_at,0.6870291000000001,0.114,1.6017794,-4.65648,0.35680682,ANGPTL8,angiopoietin like 8
3691,211891_s_at,0.6871401999999999,0.114,1.6015572,-4.6568,0.41851715,LOC101930241///ARHGEF4,rho guanine nucleotide exchange factor 4-like///Rho guanine nucleotide exchange factor 4
3687,213949_s_at,0.6867079,0.114,1.6023114,-4.65572,0.46408095,DOHH,deoxyhypusine hydroxylase/monooxygenase
3730,203515_s_at,0.6882013000000001,0.115,1.595149,-4.66593,0.19990253,PMVK,phosphomevalonate kinase
3725,203693_s_at,0.6882013000000001,0.115,-1.5959419,-4.6648,-0.42474226,E2F3,E2F transcription factor 3
3726,214740_at,0.6882013000000001,0.115,1.5957141000000001,-4.66512,0.35351752,UPK3BL///POLR2J3///POLR2J2///POLR2J,uroplakin 3B-like///RNA polymerase II subunit J3///RNA polymerase II subunit J2///RNA polymerase II subunit J
3727,212125_at,0.6882013000000001,0.115,1.595661,-4.6652,0.20337685,RANGAP1,Ran GTPase activating protein 1
3728,218548_x_at,0.6882013000000001,0.115,1.5954,-4.66557,0.21718955,TEX264,testis expressed 264
3729,207387_s_at,0.6882013000000001,0.115,-1.595264,-4.66576,-0.61235588,GK,glycerol kinase
3731,217973_at,0.6882013000000001,0.115,1.5949941,-4.66615,0.20783369,DCXR,dicarbonyl and L-xylulose reductase
3736,220086_at,0.6882013000000001,0.115,-1.5942614,-4.66719,-0.19911054,IKZF5,IKAROS family zinc finger 5
3733,208159_x_at,0.6882013000000001,0.115,1.5946098,-4.66669,0.30708702,DDX11,DEAD/H-box helicase 11
3734,205530_at,0.6882013000000001,0.115,-1.5944319,-4.66695,-0.2704336,ETFDH,electron transfer flavoprotein dehydrogenase
3735,36554_at,0.6882013000000001,0.115,1.5943393999999997,-4.66708,0.16768651,ASMTL,acetylserotonin O-methyltransferase-like
3738,211161_s_at,0.6882013000000001,0.115,1.5942551999999999,-4.6672,0.45935455,COL3A1,collagen type III alpha 1 chain
3737,212372_at,0.6882013000000001,0.115,1.5942566999999999,-4.6672,0.21707715,MYH10,"myosin, heavy chain 10, non-muscle"
3724,206327_s_at,0.6882013000000001,0.115,1.5959777,-4.66475,0.38659478,CDH15,cadherin 15
3732,204200_s_at,0.6882013000000001,0.115,1.5947281999999998,-4.666530000000001,0.46833989,PDGFB,platelet derived growth factor subunit B
3723,219745_at,0.6882013000000001,0.115,-1.5961603000000002,-4.66449,-0.54454555,MFSD13A,major facilitator superfamily domain containing 13A
3708,207749_s_at,0.6882013000000001,0.115,1.5982272,-4.66155,0.22994459,PPP2R3A,protein phosphatase 2 regulatory subunit B''alpha
3721,208595_s_at,0.6882013000000001,0.115,-1.5961968,-4.66444,-0.25065798,MBD1,methyl-CpG binding domain protein 1
3722,220632_s_at,0.6882013000000001,0.115,1.5961625,-4.66449,0.30256781,POMT2,protein O-mannosyltransferase 2
3706,212989_at,0.6882013000000001,0.115,-1.5985122,-4.6611400000000005,-0.30325929,SGMS1,sphingomyelin synthase 1
3707,218644_at,0.6882013000000001,0.115,1.5982708,-4.66148,0.523508,PLEK2,pleckstrin 2
3710,211690_at,0.6882013000000001,0.115,1.5978838,-4.66204,0.41672252,RPS6,ribosomal protein S6
3711,200744_s_at,0.6882013000000001,0.115,-1.5976605,-4.66235,-0.26455039,GNB1,G protein subunit beta 1
3712,209925_at,0.6882013000000001,0.115,1.5973626,-4.662780000000001,0.43753517,OCLN,occludin
3713,211600_at,0.6882013000000001,0.115,1.5973241000000002,-4.6628300000000005,0.31170809,PTPRO,"protein tyrosine phosphatase, receptor type O"
3709,205987_at,0.6882013000000001,0.115,1.5979676999999999,-4.661919999999999,1.05305793,CD1C,CD1c molecule
3715,221242_at,0.6882013000000001,0.115,1.5969521999999998,-4.66336,0.4626682,,
3716,221759_at,0.6882013000000001,0.115,1.5968908000000002,-4.66345,0.25058458,G6PC3,glucose-6-phosphatase catalytic subunit 3
3717,221734_at,0.6882013000000001,0.115,-1.5967788,-4.66361,-0.26972673,PRRC1,proline rich coiled-coil 1
3718,206827_s_at,0.6882013000000001,0.115,1.5964241000000001,-4.66411,0.45539061,TRPV6,transient receptor potential cation channel subfamily V member 6
3719,203673_at,0.6882013000000001,0.115,1.5963495,-4.664219999999999,0.40255928,TG,thyroglobulin
3720,211121_s_at,0.6882013000000001,0.115,1.596331,-4.66425,0.27281024,DOK1,docking protein 1
3714,216450_x_at,0.6882013000000001,0.115,-1.5971075000000001,-4.66314,-0.4355425,HSP90B1,heat shock protein 90 beta family member 1
3751,207829_s_at,0.6903680999999999,0.11599999999999999,-1.5905764,-4.67242,-0.23281949,BNIP1,BCL2 interacting protein 1
3752,216637_at,0.6903680999999999,0.11599999999999999,1.5904983999999998,-4.67253,0.3446277,,
3753,220821_at,0.6903680999999999,0.11599999999999999,1.5904124,-4.67265,0.47095459999999995,GALR1,galanin receptor 1
3754,201400_at,0.6903680999999999,0.11599999999999999,-1.5899370000000002,-4.67333,-0.22582634,PSMB3,proteasome subunit beta 3
3758,204139_x_at,0.6903680999999999,0.11599999999999999,1.5897858,-4.67354,0.26694044,MZF1,myeloid zinc finger 1
3757,201774_s_at,0.6903680999999999,0.11599999999999999,-1.5898356000000002,-4.67347,-0.19926342,NCAPD2,non-SMC condensin I complex subunit D2
3759,208332_at,0.6903680999999999,0.11599999999999999,1.5897463,-4.6736,0.19873916,LOC100509646///PRY2///PRY,"PTPN13-like protein, Y-linked-like///PTPN13-like, Y-linked 2///PTPN13-like, Y-linked"
3750,201367_s_at,0.6903680999999999,0.11599999999999999,1.5907565000000001,-4.6721699999999995,0.76868478,ZFP36L2,ZFP36 ring finger protein like 2
3756,203403_s_at,0.6903680999999999,0.11599999999999999,-1.5898889999999999,-4.6734,-0.22514417,RNF6,ring finger protein 6
3749,212326_at,0.6903680999999999,0.11599999999999999,1.591038,-4.6717699999999995,0.22832647,VPS13D,vacuolar protein sorting 13 homolog D
3755,209947_at,0.6903680999999999,0.11599999999999999,1.5898916,-4.67339,0.18501549,UBAP2L,ubiquitin associated protein 2 like
3747,202945_at,0.6903164,0.11599999999999999,1.5913030000000001,-4.67139,0.27212918,FPGS,folylpolyglutamate synthase
3748,213963_s_at,0.6903164,0.11599999999999999,-1.5912965000000001,-4.6714,-0.49855071,SAP30,Sin3A associated protein 30
3740,216900_s_at,0.6884802,0.11599999999999999,1.593764,-4.6679,0.19370462,CHRNA4,cholinergic receptor nicotinic alpha 4 subunit
3741,218121_at,0.6884802,0.11599999999999999,1.5935267,-4.66823,0.21976447,HMOX2,heme oxygenase 2
3742,217739_s_at,0.6884802,0.11599999999999999,-1.5934955,-4.66828,-0.590398,NAMPT,nicotinamide phosphoribosyltransferase
3739,213588_x_at,0.6884802,0.11599999999999999,1.5937974,-4.66785,0.20048767,RPL14,ribosomal protein L14
3743,218279_s_at,0.6887307,0.11599999999999999,-1.5930743,-4.668880000000001,-0.53832205,HIST2H2AA4///HIST2H2AA3,"histone cluster 2, H2aa4///histone cluster 2, H2aa3"
3744,214357_at,0.6887307,0.11599999999999999,1.5930327,-4.6689300000000005,0.25851354,C1orf105,chromosome 1 open reading frame 105
3745,215153_at,0.6888791999999999,0.11599999999999999,1.5927839,-4.66929,0.21220757,NOS1AP,nitric oxide synthase 1 adaptor protein
3746,208097_s_at,0.689728,0.11599999999999999,-1.5920115,-4.670380000000001,-0.29778579,TMX1,thioredoxin related transmembrane protein 1
3779,212284_x_at,0.6919241999999999,0.11699999999999999,1.5858436000000002,-4.679119999999999,0.18661329,LOC101928826///TPT1,"uncharacterized LOC101928826///tumor protein, translationally-controlled 1"
3778,214389_at,0.6919241999999999,0.11699999999999999,-1.5858476000000001,-4.679119999999999,-0.57259447,SLC5A12,solute carrier family 5 member 12
3777,221407_at,0.6915948000000001,0.11699999999999999,1.5863631,-4.67839,0.26353724,GJD2,gap junction protein delta 2
3776,218188_s_at,0.6915948000000001,0.11699999999999999,-1.5864395,-4.67828,-0.23895474,TIMM13,translocase of inner mitochondrial membrane 13
3775,212264_s_at,0.6907114999999999,0.11699999999999999,-1.5872971000000002,-4.67707,-0.20454114,WAPL,WAPL cohesin release factor
3774,206425_s_at,0.6907114999999999,0.11699999999999999,1.5873168,-4.67704,0.35154694,TRPC3,transient receptor potential cation channel subfamily C member 3
3773,216516_at,0.6907114999999999,0.11699999999999999,1.587382,-4.67695,0.3215848,,
3772,219969_at,0.6907114999999999,0.11699999999999999,1.5874736,-4.676819999999999,0.29455086,TXLNG,taxilin gamma
3780,205894_at,0.6923541,0.11699999999999999,1.5853858,-4.6797699999999995,0.21541088,ARSE,arylsulfatase E (chondrodysplasia punctata 1)
3771,214951_at,0.6907114999999999,0.11699999999999999,1.5878016000000001,-4.67635,0.2654634,SLC26A10,solute carrier family 26 member 10
3768,221336_at,0.6904863,0.11699999999999999,1.5884213,-4.67548,0.38394257,ATOH1,atonal bHLH transcription factor 1
3769,209411_s_at,0.6904863,0.11699999999999999,1.5882867,-4.675669999999999,0.15614115,GGA3,"golgi associated, gamma adaptin ear containing, ARF binding protein 3"
3770,207278_s_at,0.6905015999999999,0.11699999999999999,1.5881383999999998,-4.67588,0.54832936,CD209,CD209 molecule
3761,203488_at,0.690481,0.11699999999999999,1.5892681999999998,-4.67428,0.24748699999999998,ADGRL1,adhesion G protein-coupled receptor L1
3762,216402_at,0.690481,0.11699999999999999,1.5889432,-4.67474,0.23200981,SEC14L4,SEC14 like lipid binding 4
3763,207899_at,0.690481,0.11699999999999999,1.5889135,-4.67478,0.23686385,GIP,gastric inhibitory polypeptide
3760,201876_at,0.690481,0.11699999999999999,1.5892936000000002,-4.67424,0.35874156,PON2,paraoxonase 2
3765,213857_s_at,0.690481,0.11699999999999999,-1.5887216999999998,-4.67505,-0.21432526,CD47,CD47 molecule
3766,210879_s_at,0.690481,0.11699999999999999,1.5886328,-4.67518,0.17001258,RAB11FIP5,RAB11 family interacting protein 5
3767,211726_s_at,0.690481,0.11699999999999999,1.5885646999999998,-4.675269999999999,0.20127172,FMO2,flavin containing monooxygenase 2
3764,215418_at,0.690481,0.11699999999999999,1.588762,-4.67499,0.35243969999999997,PARVA,parvin alpha
3791,212914_at,0.6940687,0.11800000000000001,1.5826038999999998,-4.6837,0.40775928,CBX7,chromobox 7
3796,221003_s_at,0.6948476,0.11800000000000001,1.5813413,-4.68548,0.25660929,CAB39L,calcium binding protein 39 like
3795,201715_s_at,0.6948476,0.11800000000000001,-1.581456,-4.68532,-0.19088173,ACIN1,apoptotic chromatin condensation inducer 1
3794,206303_s_at,0.6948476,0.11800000000000001,-1.5815104,-4.68524,-0.39774618,NUDT4P1///NUDT4P2///NUDT4,nudix hydrolase 4 pseudogene 1///nudix hydrolase 4 pseudogene 2///nudix hydrolase 4
3793,221716_s_at,0.6947983,0.11800000000000001,1.5817872,-4.68485,0.25564791,ACSBG2,acyl-CoA synthetase bubblegum family member 2
3792,209666_s_at,0.6947983,0.11800000000000001,-1.5818333999999998,-4.6847900000000005,-0.2743949,CHUK,conserved helix-loop-helix ubiquitous kinase
3789,209464_at,0.6939439000000001,0.11800000000000001,-1.5828403,-4.68337,-0.38893777,AURKB,aurora kinase B
3790,210681_s_at,0.6939439000000001,0.11800000000000001,-1.5828334,-4.6833800000000005,-0.33261317,MIR6125///USP15,microRNA 6125///ubiquitin specific peptidase 15
3787,207900_at,0.6936420999999999,0.11800000000000001,-1.5834681000000002,-4.68248,-0.45417614,CCL17,C-C motif chemokine ligand 17
3788,214671_s_at,0.6939439000000001,0.11800000000000001,1.5828988000000002,-4.68329,0.35078347,ABR,active BCR-related
